Loc,Type,Name,Address,City,State,Postal Code,Tel,Lattitude,Longtitude
1,1,Target Stores,5115 17th Ave SE, Calgary, AB,T2A 0V8,403-776-9730,50.996067,-114.073148
1,1,Target Stores,2020 Sherwood Dr, Sherwood Park, AB,T8A 3H9,780-640-9170,51.0832739,-114.1622539
1,1,Target Stores,11801 100 St, Grande Prairie, AB,T8V 3Y2,780-833-4460,50.901957,-114.0648171
1,1,Target Stores,3292 Dunmore Rd SE, Medicine Hat, AB,T1B 2R4,403-488-0901,50.9961196,-114.0718534
1,1,Target Stores,4900 Molly Bannister Dr, Red Deer, AB,T4R 1N9,403-755-6550,53.5222037,-113.6181289
1,1,Target Stores,8882 170th St NW, Edmonton, AB,T5T 3J7,780-670-2200,53.5229251,-113.4551874
1,1,Target Stores,375 St. Albert Trail ,St. Albert ,AB,T8N 3K8,780-651-5671,53.4545331,-113.4344439
1,1,Target Stores,116 Bonnie Doon Shopping Centre NW, Edmonton, AB,T6C 4E3,780-409-3605,55.1877954,-118.793796
1,1,Target Stores,2525 36th St NE, Calgary, AB,T1Y 5S4,403-440-1560,52.24314,-113.8098217
1,1,Target Stores,3625 Shaganappi Trail NW, Calgary, AB,T3A 0E2,403-776-9280,53.6427714,-113.6227059
1,1,Target Stores,295 Shawville Blvd SE, Calgary, AB,T2Y 3H9,403-770-5110,53.5313845,-113.2941154
1,1,Target Stores,5696 Richmond Rd SW, Calgary, AB,T3H 3P8,403-776-8870,50.0324127,-125.2473539
1,1,Target Stores,2331 66th St NW, Edmonton, AB,T6K 4B6,780-670-2220,53.4545331,-113.4344439
1,1,Target Stores,6455 Macleod Trail SW, Calgary, AB,T2H 0L1,403-775-0860,50.9961196,-114.0718534
1,1,Target Stores,1324 Island Hwy, Campbell River, BC,V9W 8C9,778-336-9400,50.0324127,-125.2473539
1,1,Target Stores,4750 RutherfoRd Rd, Nanaimo, BC,V9T 4K6,250-760-3000,49.2146746,-124.0290657
1,1,Target Stores,2801 Cliffe Ave, Courtenay, BC,V9N 2L8,778-335-9400,49.6747554,-124.9818672
